sale_id,sales_date,customer_id,product_id,quantity,unit_price,promotion_id,discount,net_price,total_revenue
1,7/6/2025,10,1,2,56.86,1,10,51.17,102.34
2,7/2/2025,7,4,9,36.51,2,15,31.03,279.27
3,7/28/2025,9,5,1,49.14,,0,49.14,49.14
4,7/21/2025,7,4,6,60.27,1,10,54.24,325.44
5,7/1/2025,1,1,7,75.23,2,15,63.95,447.65
6,7/12/2025,1,4,8,23.14,3,5,21.98,175.84
7,7/26/2025,9,3,9,83.95,3,5,79.75,717.75
8,7/22/2025,9,4,2,70.23,1,10,63.21,126.42
9,7/29/2025,4,2,2,26.54,2,15,22.56,45.12
10,7/12/2025,9,2,5,89.89,1,10,80.9,404.5
11,7/25/2025,3,3,5,93.67,1,10,84.3,421.5
12,7/17/2025,7,1,6,24.89,2,15,21.16,126.96
13,7/27/2025,6,2,3,42.15,2,15,35.83,107.49
14,7/27/2025,8,5,8,84.5,,0,84.5,676
15,7/10/2025,9,2,1,79.86,2,15,67.88,67.88
16,7/28/2025,5,2,6,34.76,3,5,33.02,198.12
17,7/28/2025,1,1,4,36.75,1,10,33.08,132.32
18,7/16/2025,3,4,1,49.64,1,10,44.68,44.68
19,7/15/2025,10,2,7,58.76,3,5,55.82,390.74
20,7/30/2025,8,3,9,69.46,2,15,59.04,531.36
21,7/30/2025,6,4,4,49.51,3,5,47.03,188.12
22,7/15/2025,8,5,4,57,3,5,54.15,216.6
23,7/30/2025,9,1,6,79.8,,0,79.8,478.8
24,7/19/2025,4,5,3,22.93,3,5,21.78,65.34
25,7/12/2025,1,4,6,40.19,1,10,36.17,217.02
26,7/23/2025,1,4,7,77.07,3,5,73.22,512.54
27,7/20/2025,10,4,3,91.62,1,10,82.46,247.38
28,7/25/2025,4,5,7,60.93,1,10,54.84,383.88
29,7/3/2025,7,4,3,62.57,1,10,56.31,168.93
30,7/5/2025,2,5,2,28.57,2,15,24.28,48.56
31,7/19/2025,3,4,4,55.79,,0,55.79,223.16
32,7/7/2025,1,3,8,62.61,1,10,56.35,450.8
33,7/21/2025,5,4,9,39.4,1,10,35.46,319.14
34,7/9/2025,1,5,7,41.54,2,15,35.31,247.17
35,7/7/2025,8,2,1,50.18,1,10,45.16,45.16
36,7/18/2025,1,4,3,21.61,3,5,20.53,61.59
37,7/4/2025,1,2,9,45.77,3,5,43.48,391.32
38,7/25/2025,2,3,1,36.92,,0,36.92,36.92
39,7/28/2025,2,1,9,46.2,1,10,41.58,374.22
40,7/14/2025,6,3,8,29.58,2,15,25.14,201.12
41,7/18/2025,7,4,1,91.24,3,5,86.68,86.68
42,7/26/2025,5,2,6,67.49,2,15,57.37,344.22
43,7/9/2025,1,2,5,74.33,2,15,63.18,315.9
44,7/26/2025,1,5,6,83.13,3,5,78.97,473.82
45,7/21/2025,3,2,5,59.88,2,15,50.9,254.5
46,7/2/2025,2,5,6,26.95,3,5,25.6,153.6
47,7/20/2025,5,1,5,62.97,2,15,53.52,267.6
48,7/28/2025,10,4,5,66.95,3,5,63.6,318
49,7/15/2025,6,5,4,79.64,1,10,71.68,286.72
50,7/28/2025,7,1,3,54.53,,0,54.53,163.59
51,7/7/2025,4,2,3,30.21,3,5,28.7,86.1
52,7/12/2025,7,2,4,42.7,3,5,40.56,162.24
53,7/29/2025,8,1,9,49.05,,0,49.05,441.45
54,7/8/2025,1,2,2,71.67,3,5,68.09,136.18
55,7/15/2025,6,1,9,65.66,3,5,62.38,561.42
56,7/3/2025,8,5,1,48.49,2,15,41.22,41.22
57,7/14/2025,5,5,1,98.92,,0,98.92,98.92
58,7/17/2025,4,1,5,68.46,1,10,61.61,308.05
59,7/4/2025,2,5,6,38.98,3,5,37.03,222.18
60,7/18/2025,6,5,6,28.14,,0,28.14,168.84
61,7/8/2025,6,5,3,32.23,2,15,27.4,82.2
62,7/4/2025,1,3,7,39.68,1,10,35.71,249.97
63,7/2/2025,9,4,9,32.85,,0,32.85,295.65
64,7/30/2025,6,2,8,34.93,1,10,31.44,251.52
65,7/6/2025,3,3,6,42.81,1,10,38.53,231.18
66,7/22/2025,4,5,8,33.87,1,10,30.48,243.84
67,7/10/2025,4,1,5,91.74,3,5,87.15,435.75
68,7/4/2025,3,5,8,26.42,3,5,25.1,200.8
69,7/22/2025,10,4,4,61.96,2,15,52.67,210.68
70,7/29/2025,3,5,8,52.83,2,15,44.91,359.28
71,7/18/2025,3,1,2,98.59,,0,98.59,197.18
72,7/26/2025,4,4,5,28.96,2,15,24.62,123.1
73,7/12/2025,7,5,9,51.83,1,10,46.65,419.85
74,7/2/2025,4,4,4,97.56,1,10,87.8,351.2
75,7/10/2025,9,2,6,89.24,3,5,84.78,508.68
76,7/30/2025,1,2,1,85.37,1,10,76.83,76.83
77,7/4/2025,8,5,9,40.63,,0,40.63,365.67
78,7/14/2025,7,4,1,33.67,1,10,30.3,30.3
79,7/16/2025,2,1,5,73.49,1,10,66.14,330.7
80,7/15/2025,8,5,4,94.35,,0,94.35,377.4
81,7/8/2025,1,2,3,64.54,2,15,54.86,164.58
82,7/14/2025,9,2,6,65.73,2,15,55.87,335.22
83,7/23/2025,9,5,2,42.4,,0,42.4,84.8
84,7/28/2025,2,4,3,81.56,3,5,77.48,232.44
85,7/25/2025,7,2,5,34.96,1,10,31.46,157.3
86,7/30/2025,10,4,9,45.89,,0,45.89,413.01
87,7/8/2025,3,2,2,54.03,1,10,48.63,97.26
88,7/21/2025,7,2,8,60.61,3,5,57.58,460.64
89,7/16/2025,10,3,2,39.39,1,10,35.45,70.9
90,7/13/2025,9,2,5,29.19,,0,29.19,145.95
91,7/18/2025,4,1,7,68.85,1,10,61.96,433.72
92,7/15/2025,1,5,8,43.09,2,15,36.63,293.04
93,7/21/2025,2,5,1,66.5,3,5,63.18,63.18
94,7/24/2025,1,4,6,32.35,3,5,30.73,184.38
95,7/26/2025,5,2,1,58.49,3,5,55.57,55.57
96,7/25/2025,5,1,2,62.61,,0,62.61,125.22
97,7/28/2025,7,4,1,24.15,3,5,22.94,22.94
98,7/28/2025,9,3,5,46.93,2,15,39.89,199.45
99,7/28/2025,9,4,9,30.75,,0,30.75,276.75
100,7/13/2025,3,4,6,25.07,2,15,21.31,127.86
101,7/9/2025,3,2,1,99.2,1,10,89.28,89.28
102,7/29/2025,3,3,1,45.79,1,10,41.21,41.21
103,7/15/2025,4,4,2,84.79,1,10,76.31,152.62
104,7/13/2025,8,1,9,40.37,1,10,36.33,326.97
105,7/1/2025,6,1,3,74.52,2,15,63.34,190.02
106,7/25/2025,8,5,1,80.82,,0,80.82,80.82
107,7/7/2025,1,3,5,67.65,,0,67.65,338.25
108,7/9/2025,8,3,7,57.73,3,5,54.84,383.88
109,7/24/2025,4,5,6,52.95,2,15,45.01,270.06
110,7/1/2025,1,4,1,47.91,1,10,43.12,43.12
111,7/12/2025,8,3,5,94.36,2,15,80.21,401.05
112,7/8/2025,4,1,5,86.45,3,5,82.13,410.65
113,7/24/2025,6,1,6,97.2,3,5,92.34,554.04
114,7/11/2025,8,2,3,29.94,2,15,25.45,76.35
115,7/19/2025,4,3,5,78.47,2,15,66.7,333.5
116,7/17/2025,3,4,7,95.07,2,15,80.81,565.67
